# Date	2015-11-30-02:00
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
359	72000	0.276035	0.00696256	0.0847165	-0.0142015	
360	72200	0.279225	0.00696256	0.0834011	-0.0142015	
361	72400	0.276857	0.00696256	0.0884982	-0.0142015	
362	72600	0.279652	0.00696256	0.095634	-0.0142015	
363	72800	0.299613	0.00696256	0.0904383	-0.0142015	
364	73000	0.287643	0.00696256	0.0864922	-0.0142015	
365	73200	0.291096	0.00696256	0.0862292	-0.0142015	
366	73400	0.275673	0.00696256	0.07666	-0.0142015	
367	73600	0.292148	0.00696256	0.0962916	-0.0142015	
368	73800	0.289485	0.00696256	0.0868868	-0.0142015	
369	74000	0.260119	0.00696256	0.087413	-0.0142015	
370	74200	0.278469	0.00696256	0.0894518	-0.0142015	
371	74400	0.296489	0.00696256	0.0974426	-0.0142015	
372	74600	0.292115	0.00696256	0.0813295	-0.0142015	
373	74800	0.288498	0.00696256	0.0950749	-0.0142015	
374	75000	0.294911	0.00696256	0.089386	-0.0142015	
375	75200	0.294286	0.00696256	0.0964232	-0.0142015	
376	75400	0.28304	0.00696256	0.0895176	-0.0142015	
377	75600	0.278699	0.00696256	0.0940884	-0.0142015	
378	75800	0.301224	0.00696256	0.0834669	-0.0142015	
379	76000	0.27985	0.00696256	0.092214	-0.0142015	
380	76200	0.275509	0.00696256	0.0923785	-0.0142015	
381	76400	0.283368	0.00696256	0.0827106	-0.0142015	
382	76600	0.287775	0.00696256	0.0871828	-0.0142015	
383	76800	0.284421	0.00696256	0.0925758	-0.0142015	
384	77000	0.297541	0.00696256	0.0820858	-0.0142015	
385	77200	0.296358	0.00696256	0.0890243	-0.0142015	
386	77400	0.283303	0.00696256	0.0964561	-0.0142015	
387	77600	0.296423	0.00696256	0.0866567	-0.0142015	
388	77800	0.31132	0.00696256	0.0770874	-0.0142015	
389	78000	0.297147	0.00696256	0.0889914	-0.0142015	
390	78200	0.310596	0.00696256	0.0915564	-0.0142015	
391	78400	0.302704	0.00696256	0.0958641	-0.0142015	
392	78600	0.302474	0.00696256	0.0974097	-0.0142015	
393	78800	0.323717	0.00696256	0.0882022	-0.0142015	
394	79000	0.318883	0.00696256	0.0954695	-0.0142015	
395	79200	0.306321	0.00696256	0.0912275	-0.0142015	
396	79400	0.308985	0.00696256	0.0999746	-0.0142015	
397	79600	0.31303	0.00696256	0.093365	-0.0142015	
398	79800	0.298988	0.00696256	0.0902081	-0.0142015	
399	80000	0.283007	0.00501584	0.0865909	-0.0167664	
